id,flight_code,origin,destination,air_time,distance,airport,flight_date
1,9E-3331,JFK,BOS,41,187,General Edward Lawrence Logan Intl,2/3/2020
2,9E-3331,JFK,BOS,46,187,General Edward Lawrence Logan Intl,6/7/2020
3,9E-3338,JFK,ORD,146,740,Chicago Ohare Intl,1/19/2020
4,9E-3338,JFK,ORD,150,740,Chicago Ohare Intl,3/19/2020
5,9E-3359,JFK,ORD,141,740,Chicago Ohare Intl,10/15/2019
6,9E-3359,JFK,ORD,143,740,Chicago Ohare Intl,5/16/2020
7,9E-3422,JFK,BOS,43,187,General Edward Lawrence Logan Intl,1/9/2019
8,9E-3422,JFK,BOS,38,187,General Edward Lawrence Logan Intl,1/12/2019
9,9E-3422,JFK,BOS,34,187,General Edward Lawrence Logan Intl,1/22/2019
10,9E-3422,JFK,BOS,37,187,General Edward Lawrence Logan Intl,2/1/2019
11,9E-3422,JFK,BOS,37,187,General Edward Lawrence Logan Intl,2/5/2019
12,9E-3422,JFK,BOS,40,187,General Edward Lawrence Logan Intl,3/29/2019
13,9E-3422,JFK,BOS,34,187,General Edward Lawrence Logan Intl,4/26/2019
14,9E-3422,JFK,BOS,NA,187,General Edward Lawrence Logan Intl,5/5/2019
15,9E-3422,JFK,BOS,41,187,General Edward Lawrence Logan Intl,5/20/2019
16,9E-3422,JFK,BOS,42,187,General Edward Lawrence Logan Intl,5/31/2019
17,9E-3422,JFK,BOS,36,187,General Edward Lawrence Logan Intl,6/12/2019
18,9E-3422,JFK,BOS,46,187,General Edward Lawrence Logan Intl,7/11/2019
19,9E-3422,JFK,BOS,33,187,General Edward Lawrence Logan Intl,9/3/2019
20,9E-3422,JFK,BOS,41,187,General Edward Lawrence Logan Intl,10/23/2019
21,9E-3422,JFK,BOS,37,187,General Edward Lawrence Logan Intl,10/31/2019
22,9E-3422,JFK,BOS,38,187,General Edward Lawrence Logan Intl,12/11/2019
23,9E-3422,JFK,BOS,36,187,General Edward Lawrence Logan Intl,1/5/2020
24,9E-3422,JFK,BOS,NA,187,General Edward Lawrence Logan Intl,1/14/2020
25,9E-3422,JFK,BOS,32,187,General Edward Lawrence Logan Intl,1/22/2020
26,9E-3422,JFK,BOS,38,187,General Edward Lawrence Logan Intl,1/26/2020
27,9E-3422,JFK,BOS,39,187,General Edward Lawrence Logan Intl,2/11/2020
28,9E-3422,JFK,BOS,36,187,General Edward Lawrence Logan Intl,3/29/2020
29,9E-3422,JFK,BOS,41,187,General Edward Lawrence Logan Intl,3/31/2020
30,9E-3422,JFK,BOS,41,187,General Edward Lawrence Logan Intl,4/7/2020
31,9E-3422,JFK,BOS,35,187,General Edward Lawrence Logan Intl,4/21/2020
32,9E-3422,JFK,BOS,37,187,General Edward Lawrence Logan Intl,5/9/2020
33,9E-3422,JFK,BOS,35,187,General Edward Lawrence Logan Intl,5/19/2020
